New Zoning,Old Zoning,New maximum residency,Old maximum residency,New maximum sqft.,Old maximum sqft.,Distance to Closest Rapid Transit (meters)
RM-1,R10 RES3,44.65,44.65,19813.183475964765,20067.92440637003,1196.9201998562046
RM-1,R10 RES3,68.15,68.15,29756.497342229828,30139.08087948707,1642.4861544388907
CMX-3,C2 COM1,108.10000000000001,54.050000000000004,48344.818016852616,24172.409008426308,122.82921044939397
RSA-5,R10A RES2,63.45,63.45,85313.53193549698,85313.53193549698,1539.641063500033
CMX-2.5,C2 COM1,413.6,331.35,185140.87238517927,148112.69790814343,480.44928880535554
CMX-1,C1 COM1,2.35,2.35,2631.0651464756857,2631.0651464756857,1416.899009066447
CMX-1,C1 COM1,2.35,2.35,2459.9960234262467,2459.9960234262467,1548.5717777715392
RM-1,R10 RES3,30.55,30.55,13020.440930845574,13187.846599956447,305.71553447243605
RM-1,L5 IND1,89.3,211.5,39875.476144193686,94941.60986712783,87.03770803282133
CMX-1,C1 COM1,2.35,2.35,2526.2128764830622,2526.2128764830622,1514.597058664007
CMX-2.5,R10A RES2,385.40000000000003,75.2,173415.3647348422,98361.19487760252,456.13213712907526
CMX-2,C2 COM1,11.75,11.75,4340.341116795113,4340.341116795113,317.37335583818896
RSA-5,R10 RES3,129.25,378.35,170198.11530190753,170198.11530190753,522.7648181443675
RSA-5,R10A RES2,61.1,61.1,81637.99210417792,81637.99210417792,1489.1152212214931
CMX-2,C2 COM1,148.05,148.05,66601.19385440154,66601.19385440154,675.9458379573659
RSA-5,R9A RES2,199.75,199.75,262050.54711716494,262050.54711716494,194.64267328388723
CMX-2.5,R10 RES3,32.9,18.8,14713.863791073272,8345.70354229676,453.5181127522107
CMX-1,C1 COM1,2.35,2.35,1996.930200024011,1996.930200024011,1474.4937987554902
CMX-2,C2 COM1,9.4,9.4,3249.6374150759266,3249.6374150759266,857.2467214627475
RSA-5,R10A RES2,56.400000000000006,56.400000000000006,75746.02111140602,75746.02111140602,1446.6917192191763
CMX-2.5,C2 COM1,150.4,122.2,67531.7439204917,54025.39513639336,408.29603434901503
CMX-1,C1 COM1,2.35,2.35,5237.40048705951,5237.40048705951,1412.7536661531028
RM-1,R10 RES3,216.20000000000002,218.55,96458.73264310951,97698.91634852096,333.66238240691564
CMX-2,C2 COM1,7.050000000000001,7.050000000000001,3002.9547003144094,3002.9547003144094,929.8219756349491
I-2,G2 IND3,0.0,0.0,364930.7154466916,364930.7154466916,769.1537082536718
CMX-2,C2 COM1,263.2,263.2,118281.03683978444,118281.03683978444,811.1545541934299
CMX-1,C1 COM1,2.35,2.35,2910.321488398364,2910.321488398364,1244.3532589199208
CMX-2,C2 COM1,94.0,94.0,42019.29616465915,42019.29616465915,894.9517274774092
CMX-2.5,C2 COM1,131.6,105.75,59037.081762930626,47229.6654103445,591.9747141145654
RM-1,C2 COM1,700.3000000000001,998.75,314166.85977501096,448809.7996785871,963.9444526108985
RM-1,R10 RES3,122.2,124.55000000000001,54569.6108806828,55271.220163434446,1365.227153816508
CMX-2.5,L4 IND1,89.3,119.85000000000001,39791.65747396365,53055.543298618206,647.5782972833748
RSA-5,R10A RES2,49.35,49.35,66377.01880710947,66377.01880710947,1401.1445786462168
ICMX,L4 IND1,841.3000000000001,841.3000000000001,378178.68327431777,378178.68327431777,678.414687791947
